scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode
300760,迈瑞医疗,A股,深交所创业板,2018-09-14T00:00:00,2018-06-30T00:00:00,-,6808388200.0,24.348237693445412,10.376795777667478,5475259100.0,1871690300.0,55.24814782865466,31.876988438019737,1205612000.0,-,-,医疗行业,058001001,069001002002
601162,天风证券,A股,上交所主板,2018-09-14T00:00:00,2018-06-30T00:00:00,-,1348550600.0,-9.675644637593077,12.166027450947253,1493008828.67,231987200.0,-7.730961240816303,56.44251521769329,251424749.97,-,-,券商信托,058001001,069001001001
002936,郑州银行,A股,深交所中小板,2018-09-06T00:00:00,2018-06-30T00:00:00,-,5159466000.0,6.0001906557324505,1.5112565058549765,4867412000.0,2366553000.0,4.189361960662078,4.860003202894724,2271396000.0,-,-,银行,058001001,069001002003
002938,鹏鼎控股,A股,深交所中小板,2018-08-28T00:00:00,2018-06-30T00:00:00,-,9479764536.71,28.210282322407203,-6.487884662265431,7393919087.45,430314949.29,52.72658001915492,40.37781656839449,281755113.77,-,-,电子元件,058001001,069001002003
600811,东方集团,A股,上交所主板,2018-08-27T00:00:00,2018-06-30T00:00:00,0.1414,4295323700.0,19.474420483303287,45.333461569387055,3595182703.23,525384800.0,30.114264352993843,115.79918758204057,403787242.4,5.48,2.6,综合行业,058001001,069001001001
600007,中国国贸,A股,上交所主板,2018-08-23T00:00:00,2018-06-30T00:00:00,0.4,1552120000.0,23.678036991682365,-0.3780478013549674,1254968172.0,403860000.0,36.920787706858,0.26162143314854663,294958864.0,6.5,6.15,房地产,058001001,069001001001
601901,方正证券,A股,上交所主板,2018-08-21T00:00:00,2018-06-30T00:00:00,0.03,2308933800.0,-22.188771422024065,-21.652135515363796,2967352967.17,205831900.0,-75.02629598379755,-134.97327232597792,824194520.23,4.55,0.55,券商信托,058001001,069001001001
603959,百利科技,A股,上交所主板,2018-08-21T00:00:00,2018-06-30T00:00:00,0.25,387237853.02,59.132058228690795,16.421915520879015,243343709.2,79093676.22,280.9228264036342,82.13399512378689,20763700.87,3.3,7.92,工程建设,058001001,069001001001
600848,上海临港,A股,上交所主板,2018-08-18T00:00:00,2018-06-30T00:00:00,0.1394,640503600.0,-29.262078479761854,29.12177516648637,905460022.34,156125200.0,-18.081392287903622,33.91310858528193,190585758.67,5.83,2.4,房地产,058001001,069001001001
900928,临港B股,B股,上交所主板,2018-08-18T00:00:00,2018-06-30T00:00:00,0.1394,640503600.0,-29.262078479761854,29.12177516648637,905460022.34,156125200.0,-18.081392287903622,33.91310858528193,190585758.67,5.83,2.4,房地产,058001002,069001001001
603035,常熟汽饰,A股,上交所主板,2018-08-18T00:00:00,2018-06-30T00:00:00,0.95,681727196.2,16.691309377457898,0.9370954340089995,584214197.13,267218783.12,121.86879557936325,101.82268928274848,120440002.58,8.71,11.43,汽车行业,058001001,069001001001
603108,润达医疗,A股,上交所主板,2018-08-17T00:00:00,2018-06-30T00:00:00,0.25,2794774046.07,58.55726277622273,15.80236488701143,1762627581.44,144284825.57,49.96758822685447,55.68950596329868,96210672.77,4.12,6.17,医药制造,058001001,069001001001
600398,海澜之家,A股,上交所主板,2018-08-16T00:00:00,2018-06-30T00:00:00,0.46,10013642828.56,8.230216129811257,-26.940563844192173,9252169298.59,2066010728.01,10.197039915903314,-17.319358864496802,1874833234.71,2.47,16.93,纺织服装,058001001,069001001001
600665,天地源,A股,上交所主板,2018-08-16T00:00:00,2018-06-30T00:00:00,0.2596,3150848900.0,73.70564344167889,41.64209962003293,1813901285.86,224286500.0,113.82245300994205,60.20891466424371,104893801.77,3.695,7.1,房地产,058001001,069001001001
601066,中信建投,A股,上交所主板,2018-08-14T00:00:00,2018-06-30T00:00:00,0.23,5262810000.0,2.694883476079255,-8.56696178532188,5124705167.25,1692860000.0,-8.747571469609879,-28.972871442340598,1855139668.35,6.58,4.27,券商信托,058001001,069001001001
601577,长沙银行,A股,上交所主板,2018-08-14T00:00:00,2018-06-30T00:00:00,-,6453939000.0,9.243521242767669,-0.7586616313555856,5907846000.0,2384807000.0,10.208947195244134,-6.57495603989177,2163896000.0,-,-,银行,058001001,069001001001
000627,天茂集团,A股,深交所主板,2018-08-10T00:00:00,2018-06-30T00:00:00,0.17,20158867100.0,-47.25096758320244,-72.36192899053647,38216562800.08,847509300.0,35.424529159936135,50.470972365197674,625816685.69,3.83,4.43,保险,058001001,069001002001
000539,粤电力A,A股,深交所主板,2018-08-09T00:00:00,2018-06-30T00:00:00,0.0855,13894985179.0,12.18764069231771,39.052040707229466,12385486577.0,448833518.0,248.64721350658493,7611.398708535282,128735725.0,4.51,1.88,电力行业,058001001,069001002001
200539,粤电力B,B股,深交所主板,2018-08-09T00:00:00,2018-06-30T00:00:00,0.0855,13894985179.0,12.18764069231771,39.052040707229466,12385486577.0,448833518.0,248.64721350658493,7611.398708535282,128735725.0,4.51,1.88,电力行业,058001002,069001002001
000008,神州高铁,A股,深交所主板,2018-08-09T00:00:00,2018-06-30T00:00:00,0.0218,730004256.89,28.421672010987354,149.2524691989916,568443196.12,61380173.14,10.139712344205433,383.2286771002258,55729374.84,2.5,0.71,交运设备,058001001,069001002001
603326,我乐家居,A股,上交所主板,2018-08-09T00:00:00,2018-06-30T00:00:00,0.0881,428043300.0,26.424392197927293,83.85170423662468,338576514.04,19900600.0,60.554802968419054,711.572755871376,12394895.47,3.28,2.6556,木业家具,058001001,069001001001
601888,中国国旅,A股,上交所主板,2018-08-08T00:00:00,2018-06-30T00:00:00,0.9828,21084721588.61,67.77025246055568,38.26946852149143,12567616296.32,1918815134.61,47.57883646958636,-34.560352666556874,1300196681.66,7.66,12.94,旅游酒店,058001001,069001001001
002833,弘亚数控,A股,深交所中小板,2018-08-08T00:00:00,2018-06-30T00:00:00,1.21,608665200.0,50.38620804387113,35.633046664857645,404734721.3,163932000.0,33.53626862308677,32.140908080005275,122762154.2,7.99,16.08,专用设备,058001001,069001002003
