scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
600478,科力远,A股,上交所主板,2018-10-13T00:00:00,2018-06-30T00:00:00,-0.032,-,683459458.2,-9.2852,6.8381,-46515200.15,39.9524,-268.6554,-2.26,1.38575614,-0.01458,12.0159,材料行业,不分配不转增,-,58001001,69001001001,2018-08-23T00:00:00
622,恒立实业,A股,深交所主板,2018-10-12T00:00:00,2018-06-30T00:00:00,-0.0091,-,36549622,72.551,75.7126,-3857109.95,51.4209,47.9762,-2.08,0.43199635,-0.061421,16.3372,机械行业,不分配不转增,-,58001001,69001002001,2018-08-30T00:00:00
300533,冰川网络,A股,深交所创业板,2018-10-12T00:00:00,2018-06-30T00:00:00,0.46,-,121987442,-21.7666,7.5429,46234794.05,-8.4529,47.5089,3,15.22260298,0.005917,89.0493,软件服务,不分配不转增,-,58001001,69001002002,2018-08-30T00:00:00
300418,昆仑万维,A股,深交所创业板,2018-10-12T00:00:00,2018-06-30T00:00:00,0.49,-,1768483190,1.7917,-0.356,563067391.1,46.522,84.1122,7.58,5.70474384,0.271744,84.3197,文教休闲,不分配不转增,-,58001001,69001002002,2018-08-24T00:00:00
300404,博济医药,A股,深交所创业板,2018-10-10T00:00:00,2018-06-30T00:00:00,0.0427,-,76416941.23,40.1255,41.5318,5739929.49,1149.6296,-87.1251,1.41,3.05331046,0.018934,46.5217,医药制造,不分配不转增,-,58001001,69001002002,2018-08-29T00:00:00
300312,邦讯技术,A股,深交所创业板,2018-10-10T00:00:00,2018-06-30T00:00:00,-,-,156882595.2,-13.2374,26.9744,562915.61,104.0022,-163.7648,0.09,2.0136055,0.195894,39.5207,通讯行业,不分配不转增,-,58001001,69001002002,2018-08-15T00:00:00
2940,昂利康,A股,深交所中小板,2018-10-10T00:00:00,2018-06-30T00:00:00,1.25,-,613659443.7,-,-,84494143.11,-,-,20.52,6.30800072,0.758504,68.7246,医药制造,-,-,58001001,69001002003,2018-09-26T00:00:00
300052,中青宝,A股,深交所创业板,2018-10-09T00:00:00,2018-06-30T00:00:00,0.11,-,144219445.6,-13.3968,-6.449,27508742.19,128.4671,-8.4425,3.6,2.96291788,-0.093809,56.1015,电子信息,不分配不转增,-,58001001,69001002002,2018-08-13T00:00:00
2724,海洋王,A股,深交所中小板,2018-10-08T00:00:00,2018-06-30T00:00:00,0.0465,-,490527114.4,18.3328,24.3996,33483987,103.4165,-12.6802,1.9,2.4197572,-0.102341,67.8483,电子元件,不分配不转增,-,58001001,69001002003,2018-08-14T00:00:00
300280,紫天科技,A股,深交所创业板,2018-10-08T00:00:00,2018-06-30T00:00:00,0.2256,-,301106692.2,158.0216,72.2067,32974668.63,2626.8091,2680.025,4.01,8.24654639,-0.259638,29.5484,文化传媒,不分配不转增,-,58001001,69001002002,2018-08-30T00:00:00
