scode,sname,sclx,enddate,forecastl,forecastt,increasel,increaset,forecastcontent,changereasondscrpt,forecasttype,yearearlier,ndate,hymc,zfpx,jlrpx,forecast,IsLatest
000913,钱江摩托,深交所主板,2018-06-30T00:00:00,66000000,69000000,30.3,36.22,"预计2018年1-6月归属于上市公司股东的净利润盈利6,600万元-6,900万元。",,略增,50651660.95,2018-08-28T00:00:00,交运设备,33.26,67500000.0,increase,T
002076,雪莱特,深交所中小板,2018-06-30T00:00:00,-17000000,-13000000,-213.42,-186.74,"预计2018年1-6月归属于上市公司股东的净利润亏损:1,300.00万元-1,700.00万元,比上年同期下降186.74%-213.42%。","1、金融去杠杠,融资难,公司融资成本不断提升,财务费用增加较大。2、无人机市场持续低迷,无人机存货减值进一步增大。3、受营运资金紧张影响,公司部分业务受到影响,营业收入下降较为明显。",首亏,14988000.0,2018-08-27T00:00:00,电子元件,-200.08,-15000000.0,reduction,T
600352,浙江龙盛,上交所主板,2018-06-30T00:00:00,1860000000,1860000000,83,83,"预计2018年1-6月归属于上市公司股东的净利润盈利:186,000万元左右,同比增长约83%。","因公司决定延期适用关于金融工具相关会计政策,即三个新会计准则22号(修订)、23号(修订)和37号(修订),按照现行原准则计量可供出售金融资产,则不会对报告期损益产生影响,故对2018年半年度业绩预告进行更正。",预增,1013159984.92,2018-08-25T00:00:00,化工行业,83.0,1860000000.0,increase,T
000712,锦龙股份,深交所主板,2018-06-30T00:00:00,-53210000,-43530000,-155,-145,"预计2018年1-6月归属于上市公司股东的净利润亏损:4,353万元-5,321万元,比上年同期减少145%-155%。","本公司于2018年8月23日收到本公司持有40%股份的参股公司东莞证券股份有限公司(下称“东莞证券”)《2018年上半年经营业绩告知函》,该《告知函》称:东莞证券于2018年7月上旬向各股东单位报送了东莞证券未经审计的2018年上半年资产负债表及利润表。因东莞证券首次公开发行股票事项(目前仍处于“中止审查”状态)需要,东莞证券2018年半年度财务报表须审计。随着会计师事务所对东莞证券半年报审计的推进,东莞证券对部分会计处理依谨慎原则重新认定,预计审计后东莞证券归属于母公司股东的净利润约为7,512万元,主要调整事项如下:1.“16申信01”计提减值约16,139万元。东莞证券持有上海华信国际集团有限公司(下称“上海华信”)公开发行的公司债券“16申信01”40,000万元。2018年3月1日,上海华信因其股东董事局主席被调查导致债券价格异常波动,发布债券停牌公告,当天“16申信01”收盘价为60元,截至目前仍为停牌状态。截至2018年6月30日,东莞证券根据市场情况,结合相关风险管理规定,未计提减值准备。2018年7月27日,“16申信01”债券的受托管理人中信建投证券股份有限公司发布公告称,鉴于发行人未履行本息偿付义务的事实,“16申信01”公司债券已构成违约。基于从严谨慎性原则,东莞证券根据市场估值净价,对“16申信01”计提减值准备约16,139万元。2.“16凯迪01”计提减值约2,108万元。东莞证券持有凯迪生态环境科技股份有限公司(下称“凯迪生态”)公开发行的公司债券“16凯迪01”5,000万元。2018年3月21日,凯迪生态因重大事项存在不确定性,发布债券停牌公告。当天“16凯迪01”收盘价为89元,截至目前仍为停牌状态。截至2018年6月30日,东莞证券根据市场情况,结合相关风险管理规定,未计提减值准备。2018年7月13日、7月27日,“16凯迪01”债券的受托管理人中德证券有限责任公司发布公告,就凯迪生态多项重大不利事项提醒投资者关注债券的偿付风险。基于从严谨慎性原则,东莞证券根据市场估值净价,对“16凯迪01”计提减值准备约2,108万元。3.“恒康医疗”股票质押补计提减值约2,137万元。东莞证券与恒康医疗集团股份有限公司(下称“恒康医疗”)实际控制人阙文彬开展股票质押业务,质押物为恒康医疗股票,东莞证券向其提供融资款20,000万元。2018年1月31日,因阙文彬所持恒康医疗股票被司法冻结,阙文彬未能依约履行购回义务。2018年2月6日,东莞证券向华南国际经济贸易仲裁委员会申请仲裁,请求裁决阙文彬偿还本息及违约金等。2018年5月15日,仲裁委员会开庭审理。目前本案待裁决。截至2018年6月30日,此项融出资金账面本息合计20,553万元。恒康医疗自2017年10月30日起开始停牌,2018年6月29日复牌。截止2018年6月底,该笔股票质押业务履约保障比能两倍覆盖负债,故东莞证券未单独计提减值准备,仅统一按余额百分比法计提减值准备100万元。目前,该笔股票质押业务履约保障比已跌破100%。基于从严谨慎性原则,东莞证券对该项目补计提减值准备约2,137万元。",首亏,96739900.0,2018-08-25T00:00:00,多元金融,-150.0,-48370000.0,reduction,T
838830,龙门教育,新三板,2018-06-30T00:00:00,57630600,57630600,34.15,34.15,"预计2018年1-6月归属于上市公司股东的净利润盈利5,763.06万元,同比增长34.15%。","(一)公司营业收入大幅增加的原因:1、全封闭中高考补习培训该板块报告期内营业收入与去年同期相比增加2,802万元。公司在2018年上半年继续增加实验班和精品班班型的比重,以使学生接受更好的教育,教学质量有显著提高,收费标准提高总收入也随之增加,学生人均收费金额持续增加;2、K12课外培训该板块在报告期内营业收入与去年同期相比增加2,394万元。K12仍将重点放置在一对一、小班教学方面,注重教学品质和质量。“单词赢”继续在该板块推广并规模增大,为龙门教育赢得更多的口碑和收入;3、教学软件及课程销售该板块在报告期内营业收入与去年同期相比增加501万元。深圳跃龙门为“双软企业”,享有15个计算机软件著作权,在2018年新软件阅读宝问世并销售较好,为龙门教育创收。(二)净利润增长原因净利润的增加主要源于营业收入的增加。由于本期较好的费用控制以及规模效应的逐步达成,为净利润的增加营造出空间。",略增,42959500.0,2018-08-21T00:00:00,-,34.15,57630600.0,increase,T
300603,立昂技术,深交所创业板,2018-06-30T00:00:00,1800000,4800000,-95.07,-86.85,"预计2018年1-6月归属于上市公司股东的净利润变盈利:180万元-480万元,同比下降86.85%-95.07%。","本次业绩修正原因主要是由于2018年塔城边境线项目已基本完工,但由于甲方结算单盖章流程未完成。在前次业预告时,公司本着审慎态度,较为保守的进行了盈利预测,截至本公告之日,公司已收到甲方进度确认文件,导致最终确认的经营成果与预测存在偏差。",预减,36501500.0,2018-08-21T00:00:00,软件服务,-90.96,3300000.0,reduction,T
600083,博信股份,上交所主板,2018-06-30T00:00:00,13460000,13460000,1070.3,1070.3,"预计2018年1-6月归属于上市公司股东的净利润盈利约 1,346万元。","因公司部分客户在销售期后退回部分货物,导致公司2018年半年度营业收入冲减约10,259万元,归属于上市公司股东的净利润冲减约711万元,归属于上市公司股东扣除非经常性损益后的净利润冲减约711万元。因该部分货物的退货为新近发生,公司2018年7月17日披露《2018年半年度业绩预盈公告》时无法预知该事项,根据《企业会计准则第29号—资产负债表日后事项》的相关规定,冲减上半年度原确认的营业收入和营业成本。",扭亏,-1387200.0,2018-08-18T00:00:00,工程建设,1070.3,13460000.0,increase,T
603188,ST亚邦,上交所风险警示板,2018-06-30T00:00:00,203752200,203752200,-40,-40,"预计2018年1-6月归属于上市公司股东的净利润盈利20,375.22万元左右,同比下降40%左右。","上半年受江苏连云港聚鑫生物科技有限公司“12·9”重大安全事故以及4月28日起园区停产进行环保集中提升改造的影响,公司上半年开工率严重不足,销售收入下降,停产费用增加,导致公司2018年上半年效益同比下降。",略减,333752200.0,2018-08-16T00:00:00,化工行业,-40.0,203752200.0,reduction,T
000766,通化金马,深交所主板,2018-06-30T00:00:00,135000000,145000000,8.27,16.3,"预计2018年1-6月归属于上市公司股东的净利润盈利:13,500万元-14,500万元,比上年同期增长:8.27%-16.30%","本报告期内,公司各项经营计划顺利推进,各主力产品市场销量稳步增长,营业收入和净利润较上年同期均有一定程度的提高。",略增,124682600.0,2018-08-14T00:00:00,医药制造,12.285,140000000.0,increase,T
002604,*ST龙力,深交所风险警示板,2018-06-30T00:00:00,-163127000,-144866600,-368,-338,"预计2018年1-6月归属于上市公司股东的净利润为亏损:14,486.66万元-16,312.70万元,比上年同期下降338%-368%。","公司本报告期利润下降原因一是受到债务危机影响,公司业务成本略有增高;二是公司的财务费用造成报告期利润降幅较大。",首亏,60868300.0,2018-08-14T00:00:00,食品饮料,-353.0,-153996800.0,reduction,T
