scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
600478,016040,10001305,科力远,材料行业,002,001,2,shzb,2018-10-13T00:00:00,2018-06-30T00:00:00,-46515200.15,683459458.22,824933386.17,-0.0597570689015973,601335611.67,-0.105421872593886,27004422.05,141680603.83,33258589.95,-94535963.65,-92632216.61,-8809471.54,-,-,-,-,-,7777267.21,-,-,-,-,-,-,-,-,-0.092852,0.178351,0.399524,-58082725.17,0.2475682609,2018/10/12 21:01:36,601335611.67
000622,016043,10000957,恒立实业,机械行业,002,001,2,szzb,2018-10-12T00:00:00,2018-06-30T00:00:00,-3857109.95,36549622.0,43503934.96,0.433154038831745,30578443.05,0.67007706886564,4159266.22,12157856.21,-1259038.62,-4345727.7,-4382676.79,199.11,-,-,-,-,-,399564.0,-,-,-,-,-,-,-,-,0.72551,0.543759,0.514209,-3639226.24,0.5968351316,2018/10/11 15:52:04,30578443.05
300533,016057,80357706,冰川网络,软件服务,002,001,2,cyb,2018-10-12T00:00:00,2018-06-30T00:00:00,46234794.05,121987441.97,86511604.51,-0.128126836923243,13358529.7,-0.2764598776497,34680610.34,61167370.94,-23657382.69,51961103.98,52524172.59,4688557.36,-,-,-,-,-,661529.18,-,-,-,-,-,-,-,-,-0.217666,-0.095253,-0.084529,34751722.04,-0.3292873785,2018/10/12 20:59:30,13358529.7
300418,016060,80198546,昆仑万维,文教休闲,002,001,2,cyb,2018-10-12T00:00:00,2018-06-30T00:00:00,563067391.07,1768483190.19,1220000170.85,0.0970043571155992,277302636.43,-0.274634947183927,418048280.66,417740059.95,78952025.06,866903024.35,859757291.54,31406498.0,-,-,-,-,-,6170006.88,-,-,-,-,-,-,-,-,0.017917,0.308143,0.46522,549256906.46,0.6031577678,2018/10/12 21:00:00,277302636.43
002940,016024,80041050,昂利康,医药制造,002,001,2,zxb,2018-10-10T00:00:00,2018-06-30T00:00:00,84494143.11,613659443.69,513888025.36,-,191924225.57,-,296030660.56,30434888.13,111061.46,102483322.72,105965390.33,13716116.2,-,-,-,-,-,8117980.8,-,-,-,-,-,-,-,-,-,-,-,65503793.51,-,2018/10/10 0:16:05,191924225.57
300404,016024,80207556,博济医药,医药制造,002,001,2,cyb,2018-10-10T00:00:00,2018-06-30T00:00:00,5739929.49,76416941.23,72006323.72,0.300229131788141,40866507.73,0.245051621617622,4119693.25,22002709.18,-521361.69,5586396.39,6200472.61,-145192.57,-,-,-,-,-,625044.09,-,-,-,-,-,-,-,-,0.401255,8.213867,11.496296,4810558.31,15.6220071108,2018/10/9 20:20:30,40866507.73
300312,016015,80195379,邦讯技术,通讯行业,002,001,2,cyb,2018-10-10T00:00:00,2018-06-30T00:00:00,562915.61,156882595.15,139376912.97,-0.272243508562456,94881555.56,-0.102224954965461,21373559.78,30100237.55,1196070.88,14547087.09,14482922.94,8117446.75,-,-,-,-,-,269692.85,-,-,-,-,-,-,-,-,-0.132374,2.041948,1.040022,614862.11,1.0368534737,2018/10/9 18:07:52,94881555.56
300052,016014,80127940,中青宝,电子信息,002,001,2,cyb,2018-10-09T00:00:00,2018-06-30T00:00:00,27508742.19,144219445.61,134386264.14,-0.190282951313349,63310145.1,-0.184392890135812,19218440.7,44194791.97,-825006.0,21827391.11,25899126.94,-2463011.06,-,-,-,-,-,457001.4,-,-,-,-,-,-,-,-,-0.133968,1.27488,1.284671,22671028.84,1.7690578205,2018/10/9 17:47:24,63310145.1
002724,016022,80198730,海洋王,电子元件,002,001,2,zxb,2018-10-08T00:00:00,2018-06-30T00:00:00,33483987.0,490527114.36,472117149.04,0.157613105388054,157712602.0,0.197661650280666,212573796.69,97731830.06,-2685144.75,43181619.92,43369150.02,9885163.02,-,-,-,-,-,5678853.54,-,-,-,-,-,-,-,-,0.183328,1.005585,1.034165,18250571.14,0.5857975312,2018/10/8 7:18:13,157712602.0
300280,016039,80187009,紫天科技,文化传媒,002,001,2,cyb,2018-10-08T00:00:00,2018-06-30T00:00:00,32974668.63,301106692.2,253678138.83,0.986984594209219,212134554.79,1.3247077222987,11579647.0,24090875.78,511364.74,55719690.36,54541120.41,11652214.26,-,-,-,-,-,2245624.63,-,-,-,-,-,-,-,-,1.580216,19.046227,26.268091,33584676.31,13.9575289044,2018/10/8 16:01:22,212134554.79
002161,016014,80097959,远望谷,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,-70114976.16,195848324.1,281999639.61,0.0814380735081812,129600195.81,0.0456232236110585,41631507.52,85206326.24,20014993.28,-79757581.11,-79600798.34,-4396724.45,-,-,-,-,-,3407208.17,-,-,-,-,-,-,-,-,-0.097151,-2.112094,-2.139523,-74687639.45,-2.0562243497,2018/9/28 19:50:39,129600195.81
002152,016014,80097526,广电运通,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,344002131.7,2119080162.85,1769318901.18,0.278341515015376,1208028164.37,0.333890163263832,323352772.96,236810272.99,-20063575.48,448069696.42,447161014.15,69373232.17,-,-,-,-,-,13838172.38,-,-,-,-,-,-,-,-,0.385065,-0.335289,-0.353698,285408501.04,1.3954230444,2018/9/28 19:50:39,1208028164.37
000528,016043,10000870,柳工,机械行业,002,001,2,szzb,2018-09-29T00:00:00,2018-06-30T00:00:00,595786258.2,9754268359.31,9065019260.18,0.623483297795743,7512841602.37,0.669586975385185,779450044.14,535709290.53,78443956.32,774665801.19,780207345.94,144022368.78,-,-,-,-,-,57614970.89,-,-,-,-,-,-,-,-,0.655452,1.362323,1.295247,565853624.45,1.3605707626,2018/9/28 20:55:41,7512841602.37
002316,016014,80077923,亚联发展,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,36253732.37,1657346002.16,1495092286.21,4.82948756242028,1080489987.13,4.57594686216634,94729790.0,271506038.32,27166227.79,181022338.35,178702049.11,37125827.92,-,-,-,-,-,4554742.22,-,-,-,-,-,-,-,-,6.674576,5.732045,1.896173,29238321.62,1.7048812773,2018/9/28 21:01:16,1080489987.13
002621,016043,80183536,三垒股份,机械行业,002,001,2,zxb,2018-09-28T00:00:00,2018-06-30T00:00:00,7589331.59,97554691.64,100237431.12,0.698847365027396,63325244.17,0.656883350122693,8387143.78,20197502.93,-1306395.83,9653265.49,9660199.72,2084037.13,-,-,-,-,-,1536685.04,-,-,-,-,-,-,-,-,0.629914,-0.066223,-0.131841,-2836677.33,-1.4482945247,2018/9/27 15:46:33,63325244.17
600122,016036,10000094,宏图高科,商业百货,002,001,2,shzb,2018-09-27T00:00:00,2018-06-30T00:00:00,118551880.74,8195676054.8,8172607987.26,-0.0338831443533114,7518100345.67,-0.032350413881696,235608753.63,189147676.33,202098174.56,129945480.45,125317048.07,33521418.53,-,-,-,-,-,18456593.76,-,-,-,-,-,-,-,-,-0.042596,-0.445726,-0.461573,39074637.84,-0.7850800502,2018/9/26 20:06:41,7518100345.67
300025,016015,80134698,华星创业,通讯行业,002,001,2,cyb,2018-09-27T00:00:00,2018-06-30T00:00:00,-31205491.04,635931629.37,679488631.9,0.162839098423571,547920308.96,0.227074948397205,22047794.01,69534401.25,31696140.61,-45913113.5,-44984445.45,2244294.83,-,-,-,-,-,4340255.86,-,-,-,-,-,-,-,-,0.012567,-2.032786,-2.206792,-32541745.37,-2.4537501669,2018/9/26 17:26:02,547920308.96
600746,016041,10000553,江苏索普,化工行业,002,001,2,shzb,2018-09-27T00:00:00,2018-06-30T00:00:00,-2700070.35,270409801.74,276595814.29,-0.186112781181447,257380738.94,-0.157094101099093,7309078.06,9496008.72,763109.38,-3776477.79,-3600093.8,-900023.45,-,-,-,-,-,2052398.81,-,-,-,-,-,-,-,-,-0.333304,-1.055213,-1.04465,-4639509.41,-1.0940813043,2018/9/26 20:04:06,257380738.94
