scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
600478,016040,10001305,科力远,材料行业,shzb,002,001,2,2018-10-13T00:00:00,2018-06-30T00:00:00,6367560830.26,1616672650.36,1095942789.53,-0.370489655249377,293754209.84,0.146237964166156,336997065.44,0.0785663539434121,3006712749.05,304023874.82,0.122898740121197,156285976.88,3.65312160311928,3360848081.21,0.0594107835546387,0.041803,0.022801,0.01291437,0.4721922301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-12T21:01:03
000622,016043,10000957,恒立实业,机械行业,szzb,002,001,2,2018-10-12T00:00:00,2018-06-30T00:00:00,402564789.56,17952189.44,155751734.53,-0.382682296455047,29306110.34,0.589209734282177,17173772.05,-0.257651259503512,207860739.48,42178492.91,0.171063034359115,37750785.84,24.0203123193728,194704050.08,-0.04895806678479,-0.008914,0.03178,0.0221228,0.5163410832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-11T15:50:03
300418,016060,80198546,昆仑万维,文教休闲,cyb,002,001,2,2018-10-12T00:00:00,2018-06-30T00:00:00,10591256968.01,23704829.4,778371766.33,-0.329063706176623,869788881.75,0.772105114059018,-,-,4007909321.78,313256611.84,0.0332880836097641,384449182.38,-0.121670166992166,6583347646.23,0.646979489665596,0.430703,0.176856,0.00794032,0.3784167766,-,-,-,-,4217888191.43,1.25399261442512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-12T20:59:30
300533,016057,80357706,冰川网络,软件服务,cyb,002,001,2,2018-10-12T00:00:00,2018-06-30T00:00:00,1737939057.99,4886783.32,1159808383.74,0.38450367864794,9721021.72,2.17183158038069,-,-,222265379.01,526745.27,0.766964165611399,59252295.07,0.821354674729852,1515673678.98,0.0309771454953798,0.040502,0.110466,0.07613597,0.127890203,-,-,-,-,26125000.0,1.7845281490482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-12T20:58:36
300312,016015,80195379,邦讯技术,通讯行业,cyb,002,001,2,2018-10-10T00:00:00,2018-06-30T00:00:00,1108821996.63,12327161.8,19605424.54,-0.507606106105007,503969756.04,-0.211758770911537,334806899.79,-0.197011369476868,439073899.72,211938549.21,-0.000328191756054047,5401927.4,-0.284151600065056,669748096.91,-0.211058883292708,-0.220789,-0.235177,0.02065122,0.3959823137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-09T18:07:52
002940,016024,80041050,昂利康,医药制造,zxb,002,001,2,2018-10-10T00:00:00,2018-06-30T00:00:00,865158421.61,233599350.29,88076135.53,-,160940615.65,-,171086273.02,-,392725617.8,124151438.55,-,7771233.47,-,472432803.81,-,-,-,0.01328784,0.4539349187,-,-,-,-,24700000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-10T00:15:35
300404,016024,80207556,博济医药,医药制造,cyb,002,001,2,2018-10-10T00:00:00,2018-06-30T00:00:00,598847738.2,129617389.82,78358255.47,-0.381537230360697,61408652.68,-0.0430444064947586,86253085.57,0.0984962035035605,177689673.51,45388497.33,0.605142423395402,84997121.7,0.390028952562298,421158064.69,-0.0742573537861927,0.060652,0.620331,0.01708556,0.2967192863,-,-,-,-,26051228.0,0.603152492307692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-09T20:19:00
300052,016014,80127940,中青宝,电子信息,cyb,002,001,2,2018-10-09T00:00:00,2018-06-30T00:00:00,1167069399.92,116539769.21,126727344.63,-0.300434125425582,125016616.91,0.314749179284184,-,-,361055334.01,46607354.82,0.569548695928435,2247468.11,-0.716699304252275,806014065.91,0.196424824348457,0.012738,-0.245767,0.01478992,0.3093692064,-,-,-,-,276052114.15,0.151260535951394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-09T17:43:52
002724,016022,80198730,海洋王,电子元件,zxb,002,001,2,2018-10-08T00:00:00,2018-06-30T00:00:00,1923468233.96,420745212.91,200766954.85,-0.745349221455266,338230820.26,0.203790986250258,141793611.54,0.281455374413797,181243050.56,41140770.57,0.039260723772284,10358823.42,-0.110817600475148,1742225183.4,0.0716880168144416,0.058782,-0.051068,0.07991726,0.0942272128,-,-,-,-,1500000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-08T07:17:13
300280,016039,80187009,紫天科技,文化传媒,cyb,002,001,2,2018-10-08T00:00:00,2018-06-30T00:00:00,2172279305.37,168897256.3,64510295.36,-0.446204432551787,252573796.05,30.5611681239932,177583718.92,-0.0393629825480877,869840778.84,65539464.63,0.302983173568862,58300175.72,-0.207714216038426,1302438526.53,1.0569328815338,1.623795,3.467121,0.00871198,0.4004276875,-,-,-,-,218895000.0,5.43808823529412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-10-08T16:01:22
