scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
000818,航锦科技,深交所主板,2018-06-30T00:00:00,2018-07-10T00:00:00,-,-,-,2018-07-10T00:00:00,058001001,069001002001
002565,顺灏股份,深交所中小板,2018-06-30T00:00:00,2018-07-10T00:00:00,-,-,-,2018-07-10T00:00:00,058001001,069001002003
002240,威华股份,深交所中小板,2018-06-30T00:00:00,2018-07-11T00:00:00,-,-,-,2018-07-11T00:00:00,058001001,069001002003
002462,嘉事堂,深交所中小板,2018-06-30T00:00:00,2018-07-11T00:00:00,-,-,-,2018-07-11T00:00:00,058001001,069001002003
603199,九华旅游,上交所主板,2018-06-30T00:00:00,2018-07-14T00:00:00,-,-,-,2018-07-14T00:00:00,058001001,069001001001
603587,地素时尚,上交所主板,2018-06-30T00:00:00,2018-07-17T00:00:00,-,-,-,2018-07-17T00:00:00,058001001,069001001001
002772,众兴菌业,深交所中小板,2018-06-30T00:00:00,2018-07-17T00:00:00,-,-,-,2018-07-17T00:00:00,058001001,069001002003
300001,特锐德,深交所创业板,2018-06-30T00:00:00,2018-07-17T00:00:00,-,-,-,2018-07-17T00:00:00,058001001,069001002002
300478,杭州高新,深交所创业板,2018-06-30T00:00:00,2018-07-18T00:00:00,-,-,-,2018-07-18T00:00:00,058001001,069001002002
600696,ST岩石,上交所风险警示板,2018-06-30T00:00:00,2018-07-20T00:00:00,-,-,-,2018-07-20T00:00:00,058001001,069001001003
600805,悦达投资,上交所主板,2018-06-30T00:00:00,2018-07-20T00:00:00,-,-,-,2018-07-20T00:00:00,058001001,069001001001
002107,沃华医药,深交所中小板,2018-06-30T00:00:00,2018-07-20T00:00:00,-,-,-,2018-07-20T00:00:00,058001001,069001002003
603707,健友股份,上交所主板,2018-06-30T00:00:00,2018-07-20T00:00:00,-,-,-,2018-07-20T00:00:00,058001001,069001001001
603333,明星电缆,上交所主板,2018-06-30T00:00:00,2018-07-21T00:00:00,-,-,-,2018-07-21T00:00:00,058001001,069001001001
002415,海康威视,深交所中小板,2018-06-30T00:00:00,2018-07-21T00:00:00,-,-,-,2018-07-21T00:00:00,058001001,069001002003
002677,浙江美大,深交所中小板,2018-06-30T00:00:00,2018-07-23T00:00:00,-,-,-,2018-07-23T00:00:00,058001001,069001002003
603538,美诺华,上交所主板,2018-06-30T00:00:00,2018-07-24T00:00:00,-,-,-,2018-07-24T00:00:00,058001001,069001001001
300249,依米康,深交所创业板,2018-06-30T00:00:00,2018-07-24T00:00:00,-,-,-,2018-07-24T00:00:00,058001001,069001002002
600779,水井坊,上交所主板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001001001
603903,中持股份,上交所主板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001001001
603868,飞科电器,上交所主板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001001001
300390,天华超净,深交所创业板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001002002
603077,和邦生物,上交所主板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001001001
002552,*ST宝鼎,深交所风险警示板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001002005
002598,山东章鼓,深交所中小板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001002003
002413,雷科防务,深交所中小板,2018-06-30T00:00:00,2018-07-25T00:00:00,-,-,-,2018-07-25T00:00:00,058001001,069001002003
